group,name
1,Saint-Germain-l'Auxerrois
1,Halles
1,Palais-Royal
1,Place-Vendôme
2,Gaillon
2,Vivienne
2,Mail
2,Bonne-Nouvelle
3,Arts-et-Métiers
3,Enfants-Rouges
3,Archives
3,Sainte-Avoye
4,Saint-Merri
4,Saint-Gervais
4,Arsenal
4,Notre-Dame
5,Saint-Victor
5,Jardin-des-Plantes
5,Val-de-Grâce
5,Sorbonne
6,Monnaie
6,Odéon
6,Notre-Dame-des-Champs
6,Saint-Germain-des-Prés
7,Saint-Thomas-d'Aquin
7,Invalides
7,École-Militaire
7,Gros-Caillou
8,Champs-Élysées
8,Faubourg-du-Roule
8,Madeleine
8,Europe
9,Saint-Georges
9,Chaussée-d'Antin
9,Faubourg-Montmartre
9,Rochechouart
10,Saint-Vincent-de-Paul
10,Porte-Saint-Denis
10,Porte-Saint-Martin
10,Hôpital-Saint-Louis
11,Folie-Méricourt
11,Saint-Ambroise
11,Roquette
11,Sainte-Marguerite
12,Bel-Air
12,Picpus
12,Bercy
12,Quinze-Vingts
13,Salpêtrière
13,Gare
13,Maison-Blanche
13,Croulebarbe
14,Montparnasse
14,Parc-de-Montsouris
14,Petit-Montrouge
14,Plaisance
15,Saint-Lambert
15,Necker
15,Grenelle
15,Javel
16,Auteuil
16,Muette
16,Porte-Dauphine
16,Chaillot
17,Ternes
17,Plaine-de-Monceaux
17,Batignolles
17,Épinettes
18,Grandes-Carrières
18,Clignancourt
18,Goutte-d'Or
18,Chapelle
19,Villette
19,Pont-de-Flandre
19,Amérique
19,Combat
20,Belleville
20,Saint-Fargeau
20,Père-Lachaise
20,Charonne 
