group,name
1,Pas encore inscrit à l'école
1,ECOLE MATERNELLE SOURDIÈRE
1,ECOLE POLYVALENTE CAMBON
1,ECOLE MATERNELLE SAINT-GERMAIN L'AUXERROIS
1,ECOLE ÉLÉMENTAIRE D'ARGENTEUIL
1,ECOLE ÉLÉMENTAIRE DE L'ARBRE SEC
1,ECOLE POLYVALENTE CAMBON
1,Cours Privé du Bouloi
1,École Privée Notre Dame Saint Roch
2,Pas encore inscrit à l'école
2,ECOLE MATERNELLE DUSSOUBS
2,ECOLE MATERNELLE VIVIENNE
2,ECOLE MATERNELLE SAINT-DENIS
2,ECOLE ÉLÉMENTAIRE DUSSOUBS
2,ECOLE POLYVALENTE ETIENNE MARCEL
2,ECOLE ÉLÉMENTAIRE DE LA JUSSIENNE
2,ECOLE POLYVALENTE BEAUREGARD
2,ECOLE ÉLÉMENTAIRE DE LOUVOIS
2,École Privée Saint-Sauveur - Bonne-Nouvelle
3,Pas encore inscrit à l'école
3,ECOLE MATERNELLE BRANTOME
3,ECOLE MATERNELLE TURENNE
3,ECOLE MATERNELLE CHAPON
3,ECOLE MATERNELLE PERLE
3,ECOLE MATERNELLE PAUL DUBOIS
3,ECOLE ÉLÉMENTAIRE DES VERTUS
3,ECOLE ÉLÉMENTAIRE BERANGER
3,ECOLE ÉLÉMENTAIRE VAUCANSON
3,ECOLE POLYVALENTE SAINT-MARTIN
3,ECOLE ÉLÉMENTAIRE QUATRE-FILS
3,ECOLE ÉLÉMENTAIRE DE TURENNE
3,École Privée Sainte-Geneviève du Marais
4,Pas encore inscrit à l'école
4,ECOLE MATERNELLE FAUCONNIER
4,ECOLE MATERNELLE ARCHIVES
4,ECOLE POLYVALENTE SAINT-MERRI
4,ECOLE MATERNELLE PLACE DES VOSGES
4,ECOLE MATERNELLE POULLETIER
4,ECOLE ÉLÉMENTAIRE NEUVE SAINT-PIERRE
4,ECOLE ÉLÉMENTAIRE DU RENARD
4,ECOLE ÉLÉMENTAIRE SAINT-LOUIS EN L'ISLE
4,ECOLE ÉLÉMENTAIRE DES TOURNELLES
4,ECOLE POLYVALENTE SAINT-MERRI
4,ECOLE ÉLÉMENTAIRE DE L'AVE MARIA
4,ECOLE ÉLÉMENTAIRE RUE DE MOUSSY
4,ECOLE POLYVALENTE DES HOSPITALIÈRES SAINT-GERVAIS
4,École Privée des Francs-Bourgeois
4,École Privée Saint-Merri
4,École Privée des Francs-Bourgeois
4,École Privée Massillon
5,Pas encore inscrit à l'école
5,ECOLE MATERNELLE CUJAS
5,ECOLE MATERNELLE BUFFON
5,ECOLE MATERNELLE LYONNAIS
5,ECOLE MATERNELLE MOUFFETARD (29)
5,ECOLE MATERNELLE MOUFFETARD (97)
5,ECOLE MATERNELLE POISSY
5,ECOLE MATERNELLE SAINT-JACQUES
5,ECOLE MATERNELLE SOMMERARD
5,ECOLE ÉLÉMENTAIRE VICTOR COUSIN
5,ECOLE ÉLÉMENTAIRE BUFFON
5,ECOLE ÉLÉMENTAIRE ROLLIN
5,ECOLE ÉLÉMENTAIRE 250 BIS RUE SAINT-JACQUES
5,ECOLE ÉLÉMENTAIRE DE PONTOISE
5,ECOLE ÉLÉMENTAIRE DES BOULANGERS
5,ECOLE ÉLÉMENTAIRE DU CARDINAL LEMOINE
5,"ECOLE ÉLÉMENTAIRE 28, RUE SAINT-JACQUES"
5,ECOLE ÉLÉMENTAIRE PIERRE BROSSOLETTE
5,ECOLE ÉLÉMENTAIRE DE L'ARBALÈTE
5,École Privée Primaire Mixte Sainte-Catherine
5,École Privée Sœur-Rosalie
5,École Sainte-Geneviève
6,Pas encore inscrit à l'école
6,ECOLE MATERNELLE MADAME
6,ECOLE MATERNELLE LITTRE
6,ECOLE MATERNELLE SAINT-ANDRÉ DES ARTS
6,ECOLE MATERNELLE SAINT-BENOÎT
6,ECOLE ÉLÉMENTAIRE DU JARDINET
6,ECOLE ÉLÉMENTAIRE DE VAUGIRARD
6,ECOLE ÉLÉMENTAIRE MADAME
6,ECOLE ÉLÉMENTAIRE SAINT-BENOÎT
6,ECOLE ÉLÉMENTAIRE LITTRE
6,École Maternelle et Primaire Privée Sainte-Geneviève 
6,École alsacienne 
6,École Primaire Bossuet 
6,École Privée Stanislas
6,Notre Dame de Sion - École Privée Sainte-Marie-Sion
7,Pas encore inscrit à l'école
7,ECOLE POLYVALENTE CHOMEL
7,ECOLE MATERNELLE EBLE
7,ECOLE MATERNELLE RAPP
7,ECOLE MATERNELLE SAINT-DOMINIQUE
7,ECOLE MATERNELLE VANEAU
7,ECOLE MATERNELLE VERNEUIL
7,ECOLE ÉLÉMENTAIRE GÉNÉRAL CAMOU
7,ECOLE ÉLÉMENTAIRE LAS CASES
7,ECOLE ÉLÉMENTAIRE EBLE
7,ECOLE ÉLÉMENTAIRE DE LA MOTTE PICQUET
7,ECOLE POLYVALENTE CHOMEL
7,ECOLE ÉLÉMENTAIRE DUQUESNE
7,École Privée La Rochefoucauld
7,École Primaire Privée Sainte Jeanne-Élisabeth 
7,École Privée de l'Alma 
7,École Nouvelle St-Thomas-d'Aquin 
7,École Privée Sainte-Clotilde
7,École Privée Sainte-Clotilde
8,Pas encore inscrit à l'école
